English,Spanish
"The sun rises in the east.","El sol sale por el este."
"I forgot my umbrella at home.","Olvidé mi paraguas en casa."
"She enjoys reading mystery novels.","A ella le gusta leer novelas de misterio."
"We are planning a trip to Spain next summer.","Estamos planeando un viaje a España el próximo verano."
"The coffee tastes better in the morning.","El café sabe mejor por la mañana."
"My brother plays the guitar very well.","Mi hermano toca la guitarra muy bien."
"There are seven days in a week.","Hay siete días en una semana."
"Please close the window before you leave.","Por favor, cierra la ventana antes de irte."
"The museum opens at ten o’clock.","El museo abre a las diez en punto."
"She speaks three languages fluently.","Ella habla tres idiomas con fluidez."
"Our dog loves running in the park.","A nuestro perro le encanta correr en el parque."
"I need to buy milk and bread.","Necesito comprar leche y pan."
"He is afraid of flying in airplanes.","Él tiene miedo de volar en aviones."
"We watched a movie together last night.","Vimos una película juntos anoche."
"The flowers in the garden are blooming.","Las flores del jardín están floreciendo."
"My parents celebrate their anniversary in June.","Mis padres celebran su aniversario en junio."
"The train arrives every fifteen minutes.","El tren llega cada quince minutos."
"She wore a beautiful red dress to the party.","Ella llevó un hermoso vestido rojo a la fiesta."
"I have never visited New York City.","Nunca he visitado la ciudad de Nueva York."
"The children are playing hide and seek.","Los niños están jugando al escondite."
"He always forgets to water the plants.","Él siempre olvida regar las plantas."
"The library is quiet and peaceful.","La biblioteca es tranquila y apacible."
"We met at the new Italian restaurant downtown.","Nos conocimos en el nuevo restaurante italiano del centro."
"She is studying to become a doctor.","Ella está estudiando para ser doctora."
"The weather is getting colder every day.","El clima está volviéndose más frío cada día."
"I like to listen to music while I work.","Me gusta escuchar música mientras trabajo."
"He bought a gift for his grandmother.","Él compró un regalo para su abuela."
"The mountain view is breathtaking.","La vista de la montaña es impresionante."
"We need to finish the project by Friday.","Necesitamos terminar el proyecto para el viernes."
"She forgot her keys in the car.","Ella olvidó sus llaves en el coche."
"The soup is too hot to eat right now.","La sopa está demasiado caliente para comer ahora."
"I usually go jogging in the evening.","Normalmente salgo a correr por la tarde."
"Our class starts at eight o’clock in the morning.","Nuestra clase empieza a las ocho de la mañana."
"He enjoys painting landscapes in his free time.","A él le gusta pintar paisajes en su tiempo libre."
"The baby fell asleep in her mother’s arms.","La bebé se durmió en los brazos de su madre."
"We celebrated his birthday with a surprise party.","Celebramos su cumpleaños con una fiesta sorpresa."
"She always brings her lunch from home.","Ella siempre trae su almuerzo de casa."
"The river flows through the center of the city.","El río pasa por el centro de la ciudad."
"I am learning how to cook Italian food.","Estoy aprendiendo a cocinar comida italiana."
"He was late because of heavy traffic.","Llegó tarde por el tráfico pesado."
"The bookstore has a wide selection of novels.","La librería tiene una gran selección de novelas."
"We enjoyed the concert last weekend.","Disfrutamos el concierto el fin de semana pasado."
"She is allergic to peanuts and shellfish.","Ella es alérgica a los cacahuetes y los mariscos."
"The teacher explained the lesson very clearly.","El profesor explicó la lección muy claramente."
"I need to charge my phone before we leave.","Necesito cargar mi teléfono antes de salir."
"They are building a new bridge over the river.","Están construyendo un nuevo puente sobre el río."
"The cake was delicious and everyone loved it.","El pastel estaba delicioso y a todos les encantó."
"We took many pictures during our vacation.","Tomamos muchas fotos durante nuestras vacaciones."
"She wants to learn how to play chess.","Ella quiere aprender a jugar ajedrez."
"The stars are shining brightly tonight.","Las estrellas brillan intensamente esta noche."
