English,Spanish
House,Casa
Book,Libro
Beautiful,Hermoso
Quickly,Rápidamente
Friend,Amigo
To run,Correr
Happiness,Felicidad
Cold,Frío
Chair,Silla
Tree,Árbol
Blue,Azul
To eat,Comer
Family,Familia
Mountain,Montaña
Strong,Fuerte
Night,Noche
Window,Ventana
To sing,Cantar
River,Río
Teacher,Maestro
Red,Rojo
To write,Escribir
Love,Amor
Child,Niño
Summer,Verano
Table,Mesa
Cat,Gato
To laugh,Reír
Happy,Feliz
Ocean,Océano
Tall,Alto
Moon,Luna
To dance,Bailar
Bread,Pan
Garden,Jardín
Yellow,Amarillo
To listen,Escuchar
Flower,Flor
Student,Estudiante
Fast,Rápido
Sun,Sol
To swim,Nadar
Car,Coche
Music,Música
Sad,Triste
School,Escuela
To read,Leer
Dog,Perro
City,Ciudad
Beautiful (person),Guapo/Guapa
